gender,age,know_this_game,playing_experience,third_person_commentary,first_person_commentary,place,user_id,score,original_file,delay,utterance_id,topic_tag
女性,40代,知っている,自分でプレイした経験はないが，対戦動画をみたことがある程度,数回程度見たことがある,数回程度見たことがある,自宅,user45956_20241205195327-0834,3,MM2,-0.75,23,アイテム
女性,40代,知っている,自分でプレイした経験はないが，対戦動画をみたことがある程度,数回程度見たことがある,数回程度見たことがある,自宅,user45956_20241205195327-0834,3,FF4,-1.5,25,アイテム
女性,40代,知っている,自分でプレイした経験はないが，対戦動画をみたことがある程度,数回程度見たことがある,数回程度見たことがある,自宅,user45956_20241205195327-0834,3,FF3,-1.25,6,アイテム
女性,40代,知っている,自分でプレイした経験はないが，対戦動画をみたことがある程度,数回程度見たことがある,数回程度見たことがある,自宅,user45956_20241205195327-0834,2,FF1,1,12,アイテム
女性,40代,知っている,自分でプレイした経験はないが，対戦動画をみたことがある程度,数回程度見たことがある,数回程度見たことがある,自宅,user45956_20241205195327-0834,2,MM2,-0.75,9,アイテム
女性,40代,知っている,自分でプレイした経験はないが，対戦動画をみたことがある程度,数回程度見たことがある,数回程度見たことがある,自宅,user45956_20241205195327-0834,2,MM2,-0.5,9,アイテム
女性,40代,知っている,自分でプレイした経験はないが，対戦動画をみたことがある程度,数回程度見たことがある,数回程度見たことがある,自宅,user45956_20241205195327-0834,5,MF24,0,16,対戦風景
女性,40代,知っている,自分でプレイした経験はないが，対戦動画をみたことがある程度,数回程度見たことがある,数回程度見たことがある,自宅,user45956_20241205195327-0834,4,MF23,1.5,3,ファイター
女性,40代,知っている,自分でプレイした経験はないが，対戦動画をみたことがある程度,数回程度見たことがある,数回程度見たことがある,自宅,user45956_20241205195327-0834,3,MF24,0.5,23,対戦風景
女性,40代,知っている,自分でプレイした経験はないが，対戦動画をみたことがある程度,数回程度見たことがある,数回程度見たことがある,自宅,user45956_20241205195327-0834,5,MM1,-0.5,11,対戦風景
女性,40代,知っている,自分でプレイした経験はないが，対戦動画をみたことがある程度,数回程度見たことがある,数回程度見たことがある,自宅,user45956_20241205195327-0834,2,MM2,1,29,対戦風景
女性,40代,知っている,自分でプレイした経験はないが，対戦動画をみたことがある程度,数回程度見たことがある,数回程度見たことがある,自宅,user45956_20241205195327-0834,5,MF12,-1.5,14,対戦風景
女性,40代,知っている,自分でプレイした経験はないが，対戦動画をみたことがある程度,数回程度見たことがある,数回程度見たことがある,自宅,user45956_20241205195327-0834,5,MF12,-1.25,21,対戦風景
女性,40代,知っている,自分でプレイした経験はないが，対戦動画をみたことがある程度,数回程度見たことがある,数回程度見たことがある,自宅,user45956_20241205195327-0834,3,MM1,1.25,22,アイテム
女性,40代,知っている,自分でプレイした経験はないが，対戦動画をみたことがある程度,数回程度見たことがある,数回程度見たことがある,自宅,user45956_20241205195327-0834,2,MF24,1.5,3,ファイター
女性,40代,知っている,自分でプレイした経験はないが，対戦動画をみたことがある程度,数回程度見たことがある,数回程度見たことがある,自宅,user45956_20241205195327-0834,4,MM3,1.75,28,対戦風景
女性,40代,知っている,自分でプレイした経験はないが，対戦動画をみたことがある程度,数回程度見たことがある,数回程度見たことがある,自宅,user45956_20241205195327-0834,4,FF2,1.25,20,対戦風景
女性,40代,知っている,自分でプレイした経験はないが，対戦動画をみたことがある程度,数回程度見たことがある,数回程度見たことがある,自宅,user45956_20241205195327-0834,4,MF12,1.75,4,ファイター
女性,40代,知っている,自分でプレイした経験はないが，対戦動画をみたことがある程度,数回程度見たことがある,数回程度見たことがある,自宅,user45956_20241205195327-0834,4,MF11,-1,9,対戦風景
女性,40代,知っている,自分でプレイした経験はないが，対戦動画をみたことがある程度,数回程度見たことがある,数回程度見たことがある,自宅,user45956_20241205195327-0834,4,MF23,0.75,15,対戦風景
女性,40代,知っている,自分でプレイした経験はないが，対戦動画をみたことがある程度,数回程度見たことがある,数回程度見たことがある,自宅,user45956_20241205195327-0834,3,MF11,0,17,対戦風景
女性,40代,知っている,自分でプレイした経験はないが，対戦動画をみたことがある程度,数回程度見たことがある,数回程度見たことがある,自宅,user45956_20241205195327-0834,3,MF24,0.5,13,アイテム
女性,40代,知っている,自分でプレイした経験はないが，対戦動画をみたことがある程度,数回程度見たことがある,数回程度見たことがある,自宅,user45956_20241205195327-0834,2,MF13,-1,5,ファイター
男性,30代,知っている,機会があれば，家族や友人とプレイをすることもある程度,数回程度見たことがある,数回程度見たことがある,自宅,user27411_20241205200441-0825,5,MF13,-0.75,7,ファイター
男性,30代,知っている,機会があれば，家族や友人とプレイをすることもある程度,数回程度見たことがある,数回程度見たことがある,自宅,user27411_20241205200441-0825,5,FF1,-0.75,26,ファイター
男性,30代,知っている,機会があれば，家族や友人とプレイをすることもある程度,数回程度見たことがある,数回程度見たことがある,自宅,user27411_20241205200441-0825,1,MF13,1,21,対戦風景
男性,30代,知っている,機会があれば，家族や友人とプレイをすることもある程度,数回程度見たことがある,数回程度見たことがある,自宅,user27411_20241205200441-0825,2,MF21,0.75,16,対戦風景
男性,30代,知っている,機会があれば，家族や友人とプレイをすることもある程度,数回程度見たことがある,数回程度見たことがある,自宅,user27411_20241205200441-0825,5,MF23,0,17,対戦風景
男性,30代,知っている,機会があれば，家族や友人とプレイをすることもある程度,数回程度見たことがある,数回程度見たことがある,自宅,user27411_20241205200441-0825,4,MM4,1,25,アイテム
男性,30代,知っている,機会があれば，家族や友人とプレイをすることもある程度,数回程度見たことがある,数回程度見たことがある,自宅,user27411_20241205200441-0825,5,MM1,-1.5,1,ファイター
男性,30代,知っている,機会があれば，家族や友人とプレイをすることもある程度,数回程度見たことがある,数回程度見たことがある,自宅,user27411_20241205200441-0825,2,MF12,1.5,11,アイテム
男性,30代,知っている,機会があれば，家族や友人とプレイをすることもある程度,数回程度見たことがある,数回程度見たことがある,自宅,user27411_20241205200441-0825,3,FF2,-1.25,30,対戦風景
男性,30代,知っている,機会があれば，家族や友人とプレイをすることもある程度,数回程度見たことがある,数回程度見たことがある,自宅,user27411_20241205200441-0825,1,MF21,1.75,27,対戦結果
男性,30代,知っている,機会があれば，家族や友人とプレイをすることもある程度,数回程度見たことがある,数回程度見たことがある,自宅,user27411_20241205200441-0825,4,MF13,0.75,9,ファイター
男性,30代,知っている,機会があれば，家族や友人とプレイをすることもある程度,数回程度見たことがある,数回程度見たことがある,自宅,user27411_20241205200441-0825,5,FF2,-1,19,アイテム
男性,30代,知っている,機会があれば，家族や友人とプレイをすることもある程度,数回程度見たことがある,数回程度見たことがある,自宅,user27411_20241205200441-0825,3,FF3,-1,18,対戦風景
男性,30代,知っている,機会があれば，家族や友人とプレイをすることもある程度,数回程度見たことがある,数回程度見たことがある,自宅,user27411_20241205200441-0825,2,MM4,1.5,11,対戦風景
男性,30代,知っている,機会があれば，家族や友人とプレイをすることもある程度,数回程度見たことがある,数回程度見たことがある,自宅,user27411_20241205200441-0825,4,MF12,0,6,対戦風景
男性,30代,知っている,機会があれば，家族や友人とプレイをすることもある程度,数回程度見たことがある,数回程度見たことがある,自宅,user27411_20241205200441-0825,5,FF3,-0.5,28,対戦結果
男性,30代,知っている,機会があれば，家族や友人とプレイをすることもある程度,数回程度見たことがある,数回程度見たことがある,自宅,user27411_20241205200441-0825,5,MF11,-1.25,13,対戦風景
男性,30代,知っている,機会があれば，家族や友人とプレイをすることもある程度,数回程度見たことがある,数回程度見たことがある,自宅,user27411_20241205200441-0825,5,FF4,1.25,17,ファイター
男性,30代,知っている,機会があれば，家族や友人とプレイをすることもある程度,数回程度見たことがある,数回程度見たことがある,自宅,user27411_20241205200441-0825,2,MM2,1.25,21,アイテム
男性,30代,知っている,機会があれば，家族や友人とプレイをすることもある程度,数回程度見たことがある,数回程度見たことがある,自宅,user27411_20241205200441-0825,4,MM2,1.75,9,アイテム
男性,30代,知っている,機会があれば，家族や友人とプレイをすることもある程度,数回程度見たことがある,数回程度見たことがある,自宅,user27411_20241205200441-0825,4,MF24,0.5,20,対戦風景
男性,30代,知っている,機会があれば，家族や友人とプレイをすることもある程度,数回程度見たことがある,数回程度見たことがある,自宅,user27411_20241205200441-0825,5,MF13,-1.5,4,ファイター
男性,30代,知っている,機会があれば，家族や友人とプレイをすることもある程度,数回程度見たことがある,数回程度見たことがある,自宅,user27411_20241205200441-0825,2,MM3,-0.5,16,対戦風景
男性,30代,知っている,機会があれば，家族や友人とプレイをすることもある程度,数回程度見たことがある,数回程度見たことがある,自宅,user27411_20241205200441-0825,4,MF14,0.5,25,アイテム
男性,30代,知っている,自分でプレイした経験はないが，対戦動画をみたことがある程度,数回程度見たことがある,見たことがない,自宅,user14651_20241205193929-0082,4,FF1,1,45,対戦風景
男性,30代,知っている,自分でプレイした経験はないが，対戦動画をみたことがある程度,数回程度見たことがある,見たことがない,自宅,user14651_20241205193929-0082,2,MF22,-1.5,22,対戦風景
男性,30代,知っている,自分でプレイした経験はないが，対戦動画をみたことがある程度,数回程度見たことがある,見たことがない,自宅,user14651_20241205193929-0082,1,MF12,-1.5,16,ファイター
男性,30代,知っている,自分でプレイした経験はないが，対戦動画をみたことがある程度,数回程度見たことがある,見たことがない,自宅,user14651_20241205193929-0082,4,MF11,1.25,11,ファイター
男性,30代,知っている,自分でプレイした経験はないが，対戦動画をみたことがある程度,数回程度見たことがある,見たことがない,自宅,user14651_20241205193929-0082,5,FF2,-0.75,20,対戦風景
男性,30代,知っている,自分でプレイした経験はないが，対戦動画をみたことがある程度,数回程度見たことがある,見たことがない,自宅,user14651_20241205193929-0082,2,MM4,-0.5,26,アイテム
男性,30代,知っている,自分でプレイした経験はないが，対戦動画をみたことがある程度,数回程度見たことがある,見たことがない,自宅,user14651_20241205193929-0082,3,MM1,-0.75,27,対戦風景
男性,30代,知っている,自分でプレイした経験はないが，対戦動画をみたことがある程度,数回程度見たことがある,見たことがない,自宅,user14651_20241205193929-0082,2,MM3,0,18,対戦風景
男性,30代,知っている,自分でプレイした経験はないが，対戦動画をみたことがある程度,数回程度見たことがある,見たことがない,自宅,user14651_20241205193929-0082,4,FF3,1,22,対戦風景
男性,30代,知っている,自分でプレイした経験はないが，対戦動画をみたことがある程度,数回程度見たことがある,見たことがない,自宅,user14651_20241205193929-0082,5,MF13,-1,21,対戦風景
男性,30代,知っている,自分でプレイした経験はないが，対戦動画をみたことがある程度,数回程度見たことがある,見たことがない,自宅,user14651_20241205193929-0082,3,MF23,1.5,14,対戦風景
男性,30代,知っている,自分でプレイした経験はないが，対戦動画をみたことがある程度,数回程度見たことがある,見たことがない,自宅,user14651_20241205193929-0082,4,MM1,1.5,3,ファイター
男性,30代,知っている,自分でプレイした経験はないが，対戦動画をみたことがある程度,数回程度見たことがある,見たことがない,自宅,user14651_20241205193929-0082,2,MF23,-1.25,5,ファイター
男性,30代,知っている,自分でプレイした経験はないが，対戦動画をみたことがある程度,数回程度見たことがある,見たことがない,自宅,user14651_20241205193929-0082,1,FF3,-1.25,23,アイテム
男性,30代,知っている,自分でプレイした経験はないが，対戦動画をみたことがある程度,数回程度見たことがある,見たことがない,自宅,user14651_20241205193929-0082,2,MF12,0.75,9,対戦風景
男性,30代,知っている,自分でプレイした経験はないが，対戦動画をみたことがある程度,数回程度見たことがある,見たことがない,自宅,user14651_20241205193929-0082,4,MF13,-0.5,33,対戦結果
男性,30代,知っている,自分でプレイした経験はないが，対戦動画をみたことがある程度,数回程度見たことがある,見たことがない,自宅,user14651_20241205193929-0082,2,MF13,0.75,18,対戦風景
男性,30代,知っている,自分でプレイした経験はないが，対戦動画をみたことがある程度,数回程度見たことがある,見たことがない,自宅,user14651_20241205193929-0082,3,MF23,0.5,26,対戦風景
男性,30代,知っている,自分でプレイした経験はないが，対戦動画をみたことがある程度,数回程度見たことがある,見たことがない,自宅,user14651_20241205193929-0082,4,MF24,0.5,6,ファイター
男性,30代,知っている,自分でプレイした経験はないが，対戦動画をみたことがある程度,数回程度見たことがある,見たことがない,自宅,user14651_20241205193929-0082,1,FF1,1.75,12,アイテム
男性,30代,知っている,自分でプレイした経験はないが，対戦動画をみたことがある程度,数回程度見たことがある,見たことがない,自宅,user14651_20241205193929-0082,5,FF2,1.75,7,ファイター
男性,30代,知っている,自分でプレイした経験はないが，対戦動画をみたことがある程度,数回程度見たことがある,見たことがない,自宅,user14651_20241205193929-0082,2,FF1,0,19,アイテム
男性,30代,知っている,自分でプレイした経験はないが，対戦動画をみたことがある程度,数回程度見たことがある,見たことがない,自宅,user14651_20241205193929-0082,1,MF14,1.25,20,対戦風景
男性,30代,知っている,自分でプレイした経験はないが，対戦動画をみたことがある程度,数回程度見たことがある,見たことがない,自宅,user14651_20241205193929-0082,3,MF14,-1,24,対戦風景
女性,20代,知っている,機会があれば，家族や友人とプレイをすることもある程度,数回程度見たことがある,数回程度見たことがある,自宅,user18346_20241205193233-0484,3,MM1,1.75,1,ファイター
女性,20代,知っている,機会があれば，家族や友人とプレイをすることもある程度,数回程度見たことがある,数回程度見たことがある,自宅,user18346_20241205193233-0484,4,MM1,-0.5,3,ファイター
女性,20代,知っている,機会があれば，家族や友人とプレイをすることもある程度,数回程度見たことがある,数回程度見たことがある,自宅,user18346_20241205193233-0484,5,MM4,1.5,30,対戦風景
女性,20代,知っている,機会があれば，家族や友人とプレイをすることもある程度,数回程度見たことがある,数回程度見たことがある,自宅,user18346_20241205193233-0484,3,MM1,0.75,5,対戦風景
女性,20代,知っている,機会があれば，家族や友人とプレイをすることもある程度,数回程度見たことがある,数回程度見たことがある,自宅,user18346_20241205193233-0484,3,MM2,1,5,対戦風景
女性,20代,知っている,機会があれば，家族や友人とプレイをすることもある程度,数回程度見たことがある,数回程度見たことがある,自宅,user18346_20241205193233-0484,4,MM4,0.5,28,対戦風景
女性,20代,知っている,機会があれば，家族や友人とプレイをすることもある程度,数回程度見たことがある,数回程度見たことがある,自宅,user18346_20241205193233-0484,3,MM1,-1.5,21,アイテム
女性,20代,知っている,機会があれば，家族や友人とプレイをすることもある程度,数回程度見たことがある,数回程度見たことがある,自宅,user18346_20241205193233-0484,4,MM1,1.75,8,対戦風景
女性,20代,知っている,機会があれば，家族や友人とプレイをすることもある程度,数回程度見たことがある,数回程度見たことがある,自宅,user18346_20241205193233-0484,5,FF1,0.75,45,対戦風景
女性,20代,知っている,機会があれば，家族や友人とプレイをすることもある程度,数回程度見たことがある,数回程度見たことがある,自宅,user18346_20241205193233-0484,5,MF14,-0.75,1,ファイター
女性,20代,知っている,機会があれば，家族や友人とプレイをすることもある程度,数回程度見たことがある,数回程度見たことがある,自宅,user18346_20241205193233-0484,4,MM2,-1,30,対戦風景
女性,20代,知っている,機会があれば，家族や友人とプレイをすることもある程度,数回程度見たことがある,数回程度見たことがある,自宅,user18346_20241205193233-0484,4,FF1,-1.25,22,ファイター
女性,20代,知っている,機会があれば，家族や友人とプレイをすることもある程度,数回程度見たことがある,数回程度見たことがある,自宅,user18346_20241205193233-0484,3,MM1,-0.5,2,ファイター
女性,20代,知っている,機会があれば，家族や友人とプレイをすることもある程度,数回程度見たことがある,数回程度見たことがある,自宅,user18346_20241205193233-0484,3,MM4,0.5,10,対戦風景
女性,20代,知っている,機会があれば，家族や友人とプレイをすることもある程度,数回程度見たことがある,数回程度見たことがある,自宅,user18346_20241205193233-0484,4,FF2,-1,28,アイテム
女性,20代,知っている,機会があれば，家族や友人とプレイをすることもある程度,数回程度見たことがある,数回程度見たことがある,自宅,user18346_20241205193233-0484,3,MF12,1.25,7,対戦風景
女性,20代,知っている,機会があれば，家族や友人とプレイをすることもある程度,数回程度見たことがある,数回程度見たことがある,自宅,user18346_20241205193233-0484,3,FF2,-1.5,31,対戦風景
女性,20代,知っている,機会があれば，家族や友人とプレイをすることもある程度,数回程度見たことがある,数回程度見たことがある,自宅,user18346_20241205193233-0484,3,MF24,1.25,9,アイテム
女性,20代,知っている,機会があれば，家族や友人とプレイをすることもある程度,数回程度見たことがある,数回程度見たことがある,自宅,user18346_20241205193233-0484,2,MM2,0,11,対戦風景
女性,20代,知っている,機会があれば，家族や友人とプレイをすることもある程度,数回程度見たことがある,数回程度見たことがある,自宅,user18346_20241205193233-0484,5,MM2,-1.25,16,対戦風景
女性,20代,知っている,機会があれば，家族や友人とプレイをすることもある程度,数回程度見たことがある,数回程度見たことがある,自宅,user18346_20241205193233-0484,5,FF3,0,10,対戦風景
女性,20代,知っている,機会があれば，家族や友人とプレイをすることもある程度,数回程度見たことがある,数回程度見たことがある,自宅,user18346_20241205193233-0484,2,MM1,1,18,対戦風景
女性,20代,知っている,機会があれば，家族や友人とプレイをすることもある程度,数回程度見たことがある,数回程度見たことがある,自宅,user18346_20241205193233-0484,3,MF12,1.5,19,ファイター
女性,20代,知っている,機会があれば，家族や友人とプレイをすることもある程度,数回程度見たことがある,数回程度見たことがある,自宅,user18346_20241205193233-0484,4,MF22,-0.75,8,対戦風景
女性,60代,知っている,知らない,見たことがない,見たことがない,自宅,user98506_20241205190425-1002,5,FF4,-1.25,26,対戦風景
女性,60代,知っている,知らない,見たことがない,見たことがない,自宅,user98506_20241205190425-1002,5,MF21,-1.5,21,アイテム
女性,60代,知っている,知らない,見たことがない,見たことがない,自宅,user98506_20241205190425-1002,3,FF1,0.5,8,ファイター
女性,60代,知っている,知らない,見たことがない,見たことがない,自宅,user98506_20241205190425-1002,3,MF12,-0.5,10,ファイター
女性,60代,知っている,知らない,見たことがない,見たことがない,自宅,user98506_20241205190425-1002,4,MF23,0.5,2,ファイター
女性,60代,知っている,知らない,見たことがない,見たことがない,自宅,user98506_20241205190425-1002,5,FF2,1.25,12,アイテム
女性,60代,知っている,知らない,見たことがない,見たことがない,自宅,user98506_20241205190425-1002,4,FF1,-0.75,20,対戦風景
女性,60代,知っている,知らない,見たことがない,見たことがない,自宅,user98506_20241205190425-1002,3,MM1,1.75,22,アイテム
女性,60代,知っている,知らない,見たことがない,見たことがない,自宅,user98506_20241205190425-1002,5,FF1,0,34,アイテム
女性,60代,知っている,知らない,見たことがない,見たことがない,自宅,user98506_20241205190425-1002,4,MF22,1.25,8,対戦風景
女性,60代,知っている,知らない,見たことがない,見たことがない,自宅,user98506_20241205190425-1002,2,MF21,1,17,対戦風景
女性,60代,知っている,知らない,見たことがない,見たことがない,自宅,user98506_20241205190425-1002,4,FF2,-0.5,11,アイテム
女性,60代,知っている,知らない,見たことがない,見たことがない,自宅,user98506_20241205190425-1002,4,FF1,-1.25,22,ファイター
女性,60代,知っている,知らない,見たことがない,見たことがない,自宅,user98506_20241205190425-1002,5,MF12,-1,8,対戦風景
女性,60代,知っている,知らない,見たことがない,見たことがない,自宅,user98506_20241205190425-1002,3,MF24,1.75,9,アイテム
女性,60代,知っている,知らない,見たことがない,見たことがない,自宅,user98506_20241205190425-1002,4,FF4,0.75,18,アイテム
女性,60代,知っている,知らない,見たことがない,見たことがない,自宅,user98506_20241205190425-1002,4,FF2,0.75,28,アイテム
女性,60代,知っている,知らない,見たことがない,見たことがない,自宅,user98506_20241205190425-1002,3,FF3,1.5,20,対戦風景
女性,60代,知っている,知らない,見たことがない,見たことがない,自宅,user98506_20241205190425-1002,3,FF4,0,23,アイテム
女性,60代,知っている,知らない,見たことがない,見たことがない,自宅,user98506_20241205190425-1002,3,MF11,-1,13,対戦風景
女性,60代,知っている,知らない,見たことがない,見たことがない,自宅,user98506_20241205190425-1002,3,MM2,-1.5,17,対戦風景
女性,60代,知っている,知らない,見たことがない,見たことがない,自宅,user98506_20241205190425-1002,4,MM2,-0.75,18,対戦風景
女性,60代,知っている,知らない,見たことがない,見たことがない,自宅,user98506_20241205190425-1002,2,MF24,1,18,対戦風景
女性,60代,知っている,知らない,見たことがない,見たことがない,自宅,user98506_20241205190425-1002,4,MF12,1.5,22,対戦風景
男性,40代,知っている,機会があれば，家族や友人とプレイをすることもある程度,数回程度見たことがある,よく見る,自宅,user70652_20241205190546-0989,3,FF4,-1,24,アイテム
男性,40代,知っている,機会があれば，家族や友人とプレイをすることもある程度,数回程度見たことがある,よく見る,自宅,user70652_20241205190546-0989,2,FF1,-1.25,47,対戦結果
男性,40代,知っている,機会があれば，家族や友人とプレイをすることもある程度,数回程度見たことがある,よく見る,自宅,user70652_20241205190546-0989,5,FF1,-1.25,39,対戦風景
男性,40代,知っている,機会があれば，家族や友人とプレイをすることもある程度,数回程度見たことがある,よく見る,自宅,user70652_20241205190546-0989,5,MM3,1.25,8,アイテム
男性,40代,知っている,機会があれば，家族や友人とプレイをすることもある程度,数回程度見たことがある,よく見る,自宅,user70652_20241205190546-0989,4,MF12,0,14,対戦風景
男性,40代,知っている,機会があれば，家族や友人とプレイをすることもある程度,数回程度見たことがある,よく見る,自宅,user70652_20241205190546-0989,5,MF14,-1,27,対戦風景
男性,40代,知っている,機会があれば，家族や友人とプレイをすることもある程度,数回程度見たことがある,よく見る,自宅,user70652_20241205190546-0989,3,MF21,1.75,7,対戦風景
男性,40代,知っている,機会があれば，家族や友人とプレイをすることもある程度,数回程度見たことがある,よく見る,自宅,user70652_20241205190546-0989,4,MF21,0.5,28,対戦結果
男性,40代,知っている,機会があれば，家族や友人とプレイをすることもある程度,数回程度見たことがある,よく見る,自宅,user70652_20241205190546-0989,5,MM4,1.25,20,対戦風景
男性,40代,知っている,機会があれば，家族や友人とプレイをすることもある程度,数回程度見たことがある,よく見る,自宅,user70652_20241205190546-0989,5,MF22,-1.5,3,ファイター
男性,40代,知っている,機会があれば，家族や友人とプレイをすることもある程度,数回程度見たことがある,よく見る,自宅,user70652_20241205190546-0989,3,FF4,1.5,12,対戦風景
男性,40代,知っている,機会があれば，家族や友人とプレイをすることもある程度,数回程度見たことがある,よく見る,自宅,user70652_20241205190546-0989,5,MF21,-0.5,19,アイテム
男性,40代,知っている,機会があれば，家族や友人とプレイをすることもある程度,数回程度見たことがある,よく見る,自宅,user70652_20241205190546-0989,5,MM1,1.75,27,対戦風景
男性,40代,知っている,機会があれば，家族や友人とプレイをすることもある程度,数回程度見たことがある,よく見る,自宅,user70652_20241205190546-0989,5,MM2,1.5,28,対戦風景
男性,40代,知っている,機会があれば，家族や友人とプレイをすることもある程度,数回程度見たことがある,よく見る,自宅,user70652_20241205190546-0989,5,MM4,-0.75,10,対戦風景
男性,40代,知っている,機会があれば，家族や友人とプレイをすることもある程度,数回程度見たことがある,よく見る,自宅,user70652_20241205190546-0989,4,FF2,0,33,対戦風景
男性,40代,知っている,機会があれば，家族や友人とプレイをすることもある程度,数回程度見たことがある,よく見る,自宅,user70652_20241205190546-0989,2,MM2,1,21,アイテム
男性,40代,知っている,機会があれば，家族や友人とプレイをすることもある程度,数回程度見たことがある,よく見る,自宅,user70652_20241205190546-0989,3,MF12,0.5,10,ファイター
男性,40代,知っている,機会があれば，家族や友人とプレイをすることもある程度,数回程度見たことがある,よく見る,自宅,user70652_20241205190546-0989,4,MF23,1,12,対戦風景
男性,40代,知っている,機会があれば，家族や友人とプレイをすることもある程度,数回程度見たことがある,よく見る,自宅,user70652_20241205190546-0989,5,FF1,-0.75,41,対戦風景
男性,40代,知っている,機会があれば，家族や友人とプレイをすることもある程度,数回程度見たことがある,よく見る,自宅,user70652_20241205190546-0989,3,MM4,0.75,18,対戦風景
男性,40代,知っている,機会があれば，家族や友人とプレイをすることもある程度,数回程度見たことがある,よく見る,自宅,user70652_20241205190546-0989,4,MF13,-0.5,6,ファイター
